crisis,cal_drawdown,cal_z,evt_drawdown,evt_z,ratio_|z|
2008 GFC,-0.3643283913470041,-7.5403358029881264,-0.18925601600739786,-4.242833081575575,0.5626848979184987
2020 COVID,-0.3967724566410089,-8.196673084475094,-0.15054521009403143,-3.427397803560286,0.41814499227155316
2022 infl,-0.13698280193960333,-2.941177690170539,-0.11011287142729297,-2.575698787133041,0.8757372244938025
