,equity,rates,credit,commodities,em_equity,fx_usd,inflation,value,quality,vix
2008 GFC,21.311523775280964,9.028212544925236,22.902043285420397,7.520261922334593,11.678201205275267,6.434271694617954,8.459816866376158,14.823138343787962,1.0494915888193266,-3.206961226837871
2011 Euro/US dg,6.5588813833265585,36.2539018769461,9.718295630095016,2.778722732847151,-3.9294745888703364,8.950859682363385,7.864508885818683,10.033003711065344,0.7894861315365448,20.98181455487156
2015 China/oil,13.85135223377968,12.184323679872739,4.8768899734471995,15.67686963315655,3.183844113651036,14.922807684003262,2.48838412118424,2.459430647989487,3.3665860936948424,26.989511819220958
2018 Volmageddon,7.4421310863163335,4.47075547589456,-0.5063839820593952,4.695312852957132,2.37887577136738,3.836222269596857,0.36046796691090194,-4.493648077536498,2.462008584876964,79.35425805167577
2018 Q4 selloff,57.39732303770147,3.050702786511312,1.3333014961325782,13.084798425081676,6.172990073225988,4.237322308745102,1.9075335970542442,-21.71192628760851,21.778513554759467,12.74944100839668
2020 COVID,5.533219119417687,6.80684970783946,18.48101974200785,9.523263489241694,1.0473294329963843,5.868816799669321,11.031953146101962,30.59513097340087,15.04748477464918,-3.9350671853243977
2022 inflation,16.82722569097733,13.56988598245444,11.330844547225576,15.39271358013798,5.680250590327385,8.53913366742183,12.029410617285446,-4.993173526506603,20.94481862482118,0.6788902258554167
