split,signal,spearman_vs_fwd_dd,auc_crash,n
dev,turbulence (total),-0.17668128893256912,0.7680801414690173,3039
dev,turb_loss,-0.12944841446566857,0.6917237890361512,3039
dev,turb_gain,-0.11283372468963745,0.6930022058957577,3039
dev,loss_share,-0.01996370297021376,0.5116766630813265,3039
oos,turbulence (total),-0.058525811960460306,0.5875384758884432,1581
oos,turb_loss,-0.050610251076447094,0.5528728663370954,1581
oos,turb_gain,-0.012955309261100985,0.5292649939371327,1581
oos,loss_share,-0.027252979737633763,0.5101016696203712,1581
