,window_pair_start,rbi_kendall_tau,shap_kendall_tau,delta
0,2009-03-25_2014-03-24,0.15999999999999995,0.8266666666666665,-0.6666666666666666
1,2010-03-25_2015-03-24,0.5733333333333333,0.7733333333333332,-0.19999999999999996
2,2011-03-25_2016-03-23,0.5799999999999998,0.6666666666666665,-0.08666666666666667
3,2012-03-24_2017-03-23,0.7066666666666666,0.7999999999999998,-0.09333333333333327
4,2013-03-24_2018-03-23,-0.033333333333333326,0.7866666666666665,-0.8199999999999998
5,2014-03-24_2019-03-23,0.18666666666666662,0.7733333333333332,-0.5866666666666666
mean,mean,0.36222222222222217,0.771111111111111,-0.4088888888888888
