causing_factor,caused_factor,d_rank,turb_strength,calm_strength
inflation,credit,0.8277777777777778,11.913596709823596,1.6498520262996368
credit,fx_usd,0.8111111111111111,19.97044912277564,2.8432263003968465
value,fx_usd,0.6944444444444444,16.079963913834167,3.4009705148612834
equity,rates,0.6944444444444444,13.667439599177703,3.2449886052312866
vix,quality,0.6444444444444444,9.750976264319783,2.3825987394810317
credit,rates,0.6222222222222222,8.284717069413652,2.2054388092502335
inflation,quality,0.5888888888888889,7.850493247505025,1.8183122192547474
inflation,vix,0.5555555555555556,7.0545771856213975,1.6356277735209714
em_equity,credit,0.5444444444444445,7.4584514209262345,2.027800927547719
vix,equity,0.49999999999999994,8.49968291043994,3.2779048288816246
fx_usd,credit,0.47777777777777775,8.392907092617298,3.2924969504263335
quality,rates,0.4611111111111111,13.667439599177703,4.260681811767577
inflation,equity,0.44999999999999996,6.682399004140393,2.320444649620335
inflation,fx_usd,0.44444444444444453,18.215643495789923,4.830449464442487
quality,value,0.4444444444444444,7.535530256362145,2.7332355744562835
quality,vix,0.43333333333333335,5.392407028707833,1.1575573479990473
em_equity,fx_usd,0.39999999999999997,11.940613111754024,4.425806541766293
inflation,em_equity,0.37777777777777777,9.68494360620679,4.04049998830229
value,rates,0.37777777777777777,13.19904310267326,4.688748320634784
vix,rates,0.35555555555555557,8.200998263475977,3.635142846084793
em_equity,rates,0.3388888888888889,11.321085582549307,4.560580264660468
inflation,value,0.3333333333333333,7.656064287272311,3.5556000143940563
vix,credit,0.3222222222222222,10.690439327107963,4.490724595138875
em_equity,value,0.3111111111111111,8.200998263475977,3.891680236018142
credit,value,0.30000000000000004,5.316735240523754,2.3407355813006943
credit,vix,0.28888888888888886,3.9272131547204463,1.1111539132883241
credit,equity,0.2833333333333333,4.4532392003052035,2.2366020298380156
em_equity,equity,0.27222222222222225,4.4532392003052035,2.282477850521087
equity,fx_usd,0.27222222222222214,14.473158752639453,5.693063647361261
rates,em_equity,0.2333333333333334,10.125094660943265,5.031390967601233
fx_usd,inflation,0.22777777777777775,6.4356519377347405,3.6071927546387292
credit,quality,0.21111111111111108,4.369505581430442,2.538753224965599
equity,value,0.14444444444444443,3.6301607040572974,2.101236157598703
vix,em_equity,0.12777777777777777,14.473158752639453,8.509023826762997
em_equity,quality,0.1222222222222222,4.062936991425492,3.174391641277839
fx_usd,em_equity,0.1166666666666667,6.627805992236647,4.241042600580029
quality,fx_usd,0.10555555555555551,14.473158752639453,9.182268771676833
commodities,credit,0.0888888888888889,4.101504158429593,3.3122311778521563
fx_usd,commodities,0.08333333333333326,11.321085582549307,7.229179110766586
em_equity,commodities,0.07777777777777778,5.42852277122927,3.941215063064394
rates,fx_usd,0.04444444444444451,9.025810116904436,6.537020452802743
value,quality,0.0444444444444444,8.182446560326113,5.2492357376230965
vix,inflation,0.02777777777777779,8.182446560326113,5.264297053985837
commodities,fx_usd,-0.005555555555555536,3.962413754973932,3.6071927546387292
commodities,quality,-0.016666666666666663,3.7957685063082427,3.4009705148612834
vix,value,-0.02777777777777779,6.190224922315186,4.867768653573024
value,credit,-0.033333333333333326,10.012229619181763,9.099182204812504
inflation,rates,-0.03888888888888897,14.473158752639453,16.794683781365585
rates,value,-0.06666666666666665,4.634252565696312,4.355216002664754
equity,vix,-0.06666666666666665,3.41019006324809,3.35231156494801
