,auc,basket_lift,ci_low,ci_high,p_pos,markets_pos
calendar,0.5703668724720506,-0.055714766728611975,-0.5085667877676392,0.2928936167383204,0.335,1/7
global_clock,0.5357572280209607,-0.14616607127159992,-0.632711506081108,0.18615764009748348,0.1875,0/7
per_market_clock,0.5607600468045366,-0.06589586024129168,-0.6623603452635514,0.3792215541631542,0.32,1/7
