,auc,lift,maxdd_strat,maxdd_bh
US,0.5175048843919418,-0.034033371413906166,-0.30882130560727716,-0.41124090040543015
Europe,0.5858519084867376,-0.07734033370681925,-0.3451806343724372,-0.4640979688007519
Japan,0.4852128247650636,-0.2683025841028226,-0.41055378448487523,-0.40263010847752617
UK,0.6461517091588691,-0.014828684823331773,-0.39266324992552737,-0.5521762619680175
Pacific,0.5332603450722787,-0.08894066284676236,-0.34692594866840815,-0.4991868340131733
Canada,0.5906079027355623,0.13015512470362756,-0.3112225707040356,-0.5561294934249335
Korea,0.4591471265925725,-0.0993460649245636,-0.64651772093173,-0.6878448538604651
