start,equity,rates,credit,commodities,em_equity,fx_usd,inflation,value,quality,vix
2011-08-05,0.09277631208127447,0.2592703359244587,0.11412104332777963,0.029042034931924213,-0.14265630048934896,0.037363612790793865,0.1400393151496704,0.14903017702192428,-0.0667195167075495,0.38773298596907296
2015-06-30,0.02807492667064355,0.1938754370923093,0.014923635857240792,0.25513615839146386,0.2474644169135827,0.08940729298385063,0.005131554285679744,0.004543012640175478,-0.0003837634760433776,0.16182732864109728
2015-08-24,0.29721409789347936,0.05199563131447112,-0.02204893635582679,0.21453551482470648,-0.025491688570961717,0.14316514045720416,0.011182487168093261,-0.015603558281567443,0.06177429541848628,0.2832770161319153
2015-10-23,0.06723978497589118,0.1670451983571506,0.008674573225642721,0.18417606525850316,0.13300092576608386,0.1539012258465465,0.04476531226308725,0.17102336706370003,0.01284496286955569,0.05732858437383898
2015-12-04,0.03868160584611735,0.07938581922228541,0.19453472388301046,0.0966385419139999,0.025413424981719654,0.09437487978705353,0.02806305584714963,-0.020723008066210243,0.0092108990678097,0.4544200575170646
2017-08-11,-0.005545080687752255,-0.004677089760128472,0.008929080349003258,0.08286020061558935,0.015570569792532475,0.03702916005354273,0.028614538409873026,-0.03890245603989272,-0.008788767912188241,0.884909845179421
2018-01-30,0.08395846826059213,0.033073572593124025,-0.006425255850425002,0.04468362723026789,0.019109091182410994,0.025821152037313295,0.00436748121386178,-0.05825549436092268,0.02114018086003581,0.8325271768337418
2018-10-05,0.30516197386371896,0.05848849628049478,-0.004539705022535559,0.0546212276420845,0.007666434309149975,0.03331427010772668,-0.006577204667760094,-0.12359902566361744,0.24970384274415494,0.4257596904065833
2018-11-02,0.43119280027767726,0.02918888549865287,0.01540656306163032,0.1886085646339773,0.1443695490111791,0.060881028059747586,0.013417079502944684,-0.1694120563673814,0.13719485157143071,0.1491527347501416
2018-11-29,0.7657648806089082,0.018547030443379717,0.027384150891397115,0.12810250026843023,-0.038528061453702175,0.04027315777816352,0.02193835119642091,-0.23864567951940524,0.2845824909313537,-0.009418821144946136
2019-05-07,0.20689988940749343,0.004310968432467798,-0.0002678618455075176,0.06677999158517596,0.14483419475985904,0.01603590982444263,0.03749468298155384,-0.34638164200922633,0.09945799695729242,0.7708358699064488
2019-05-29,0.3045834163140402,0.042526426611154404,0.06334409057011178,0.23019579597791037,0.06703176412094151,0.031252147829862804,0.0715907780801642,0.02127229820000603,0.1658173720972716,0.0023859101985370715
2019-08-02,0.1448938943146464,0.18534206167280642,-0.012266680975085993,0.08258814920183755,-0.016119122252600284,0.030912771684715127,0.002045777015449726,-0.25036599943639554,0.35207215742322956,0.480896991351397
2019-09-10,0.013717189486045335,0.20245116131841878,0.013201394284805427,0.574408310694402,0.0380846455012067,0.04967771654760718,0.02318364180166942,0.04633394134135793,0.012823242080217742,0.026118756944269548
2020-01-22,-0.0930987122162468,0.05737775881228286,0.05736691878588581,0.19623693275061876,0.2515829666059364,0.04113263080989644,0.04331778822650252,-0.13207997265591315,0.2586438329738627,0.3195198559071746
2020-02-25,0.05770426748678565,0.06891560001621587,0.18994731030316395,0.0947157887156902,0.007926959269367297,0.05907142632679297,0.11274671715370073,0.3048197496522692,0.151978115609101,-0.047825934533086645
2020-05-27,-0.2243226804293931,0.04688023105722568,0.060217578919285905,0.07823211602613345,0.03197949950605989,0.04287062291592119,0.020397570547066476,0.7667823661717205,0.10918195147737572,0.06778074380860433
2020-06-25,0.06809086827874326,0.04791520528127536,0.08648116888850156,0.05890173206352877,0.16786592796505231,0.030376701746579644,0.010193753075437203,0.28747777771347593,0.1859362335058135,0.05676063148159249
2020-08-03,0.28058662260390166,0.16107914126051323,0.08829204680772963,0.053896860730722744,0.13768884776354573,0.035669547947281444,-0.010200980619579615,0.16434086364246192,0.06783186227268814,0.02081518759073511
2020-08-27,0.6777003804158571,0.12228249229671934,-0.010248674691205384,0.08476683475757193,0.022002210703026236,0.030042067414290802,0.01536843708677893,-0.23063552757292663,0.19594105998199382,0.09278071960789393
2020-10-05,0.6538066717398606,0.12224816817639458,-0.0036581591649228135,0.1754383705892428,-0.05144321156404623,0.08230175826638007,0.007225988349596883,-0.061444585825293566,0.06846449164614685,0.007060507786640913
